為	làm việc,vị,vy,vi
嚌	giai,tế,tễ
栋	đống
蕎	kiều
偌	nhạ,nhược
穡	sắc
槟	tân
鷦	tiêu
醞	ôn,uẩn,ổn,uấn
琣	bổng,bội
淜	băng,phanh
纺	phưởng
呼	hô,hao,há
踏	đạp
峺	canh
羜	trữ
趵	bác,báo
圕	đồ,thoan,đồ thư quán
釷	thổ
咯	khạc,cách,lạc,khách
堇	cận
準	chuyết,chuẩn
橋	kiều,kiểu,khiêu,kiếu,cao
撺	thoán,soán
瓯	âu
士	sĩ
叇	đãi
厅	thính,sảnh
菔	bặc
饇	ốc,ứ
柶	tê,tứ
簷	thiềm,diêm
犣	liệp
讀	đậu,độc
輫	bài
咈	phất,phật
媅	đam
魋	đồi
棉	miên
驱	khu
萲	huyên
皎	kiểu,hạo,hiệu
槱	dữu,dửu
藛	tả
氐	đê,chi,để
儍	sỏa,xọa,sọa
凫	phù
貌	mạc,mộc,mạo
鰜	kiêm
聱	ngao
謡	dao
彈	đàn,đạn
曠	khoáng
薸	phiêu
遘	cấu
杅	vu
矚	chúc
剿	tiễu
攽	bân,ban
竚	trữ
噅	huy,khuy
棵	khỏa,khõa
胪	lư,lô
晧	hạo
爇	nhiệt
筤	lang
檦	biểu
廬	lữ,lư
兮	a,hề
鳴	ô,minh
攛	thoán,soán
鴒	linh
朣	đồng
躳	cung
鯉	lí,lý
蘇	tố,tô
鎣	oánh
浭	canh
荷	hạ,hà
猥	úy,ổi
魑	ly,si
陇	lũng
狠	ngận,ngoan
觡	cách
爱	ái
與	dữ,dự,dư
锕	a
促	xúc
蝙	biên,biển
礊	khách
蟫	tầm,dâm,đàm
呭	duệ
騀	ngã
媺	mĩ,mỹ
菵	võng
柳	liễu
嫕	ế
蟙	chức
椐	cư,cử
誱	tiệp
渤	bột
灸	cứu
垢	cấu
袈	già,ca,cà
钉	đính,đinh
弰	sao
梢	sao,tiêu
蒭	sô
绐	đãi
迤	di,dĩ
拘	câu,cù
俅	cầu,cừu
逿	đãng,đường
郱	bình,cảnh
羆	bi
洗	tẩy,tiển
惱	não
慲	man
请	tính,thỉnh
爗	diệp
襃	bao,bầu,bậu
垃	lập,lạp
餳	đường,dương
麺	miến
绗	hàng
珿	súc,sước
憚	đát,đạn
剐	qủa
柙	hiệp,giáp
瘭	tiêu,phiếu,phiêu,tiếu
懩	dưỡng
悭	san,khan
鶚	ngạc
藪	tẩu
懱	miệt,miết
芋	dụ,vu,hu
鉛	duyên,diên
墅	dã,thự
倭	uy,oải,oa,nụy
氺	thủy
骅	hoa
玑	ky,ki
僖	hy,hi
蜎	quyến,quyên
羟	khan
霛	linh
齣	sích,xích,xuất
腕	oản,uyển
湁	sấp
彊	cưỡng,cương,cường
恨	hận
螉	ông
烧	thiêu,thiếu
啮	khiết,niết,ngão
憃	xuẩn,thung
齦	khẩn,ngân
彙	vựng,vị
瓚	toản
煨	ôi,ổi
慆	thao
龙	long,sủng,lũng
撢	thám,đạn
煥	hoán
骠	phiếu,phiêu
漶	hoán
吊	điếu
悴	tụy
橤	nhụy,nhị
騲	thảo
渹	oanh,sảnh,hoành
椁	quách
據	cứ
乁	di
飒	táp
驔	đàm
熛	tiêu,phiêu
骦	sương
衠	chuân
鏽	tú
歩	bộ
応	ưng
勁	kình,kính
躝	lạn
敏	mẫn
俜	binh,sính
橑	liêu
能	năng,nại,nai
匰	đan,đơn
埙	huân
嶲	tây
瀝	lịch
蝹	uân
阸	ách,ải
讞	nghiễn,nghiện
鉀	giáp
恤	tuất
蟕	chủy
欚	lễ
叟	sưu,tẩu
蒉	qũy,khoái
帰	quy
挓	trát
嘆	thán
娆	nhiêu,liểu,nhiễu
羰	thang
蚕	tằm,tàm
担	đam,đảm,đãn
臐	huân
曁	kị,kỵ
羲	hy,hi
困	khốn
佯	dương
颼	sâu,sưu
箷	di
拿	nã
谈	đàm
遴	lân,lấn,lận
抒	trữ
杶	suân,chuân
勵	lệ
躊	trù
諅	kỵ
妎	hái
乹	càn,can,kiền
犖	lạc,lao
𪡀	khiêu,kiệu,kiều
褎	tụ,dữu,hựu
蟒	mãng,mãnh
魈	tiêu
锱	tri,truy
狖	dứu
嘸	mô,phủ
齤	quyền
訦	thầm
则	tắc
长	trướng,trưởng,tràng,trường
朞	ky,ki,cơ,kỳ
蝦	hà
晉	tấn
撑	sanh,xanh
涎	duyên,diên,tiên,diện
濱	tân
膵	tụy
荏	nhẫm
毓	dục
咍	hai,hải
儔	thù,trù
駫	quynh
槭	sắc,túc
螭	ly,li
鎚	đôi,trùy,chùy,chúy
鹚	tư,từ
拍	phách,bác
鼥	bạt
篣	bàng,bành
氩	á
寓	ngụ
䄷	thạch
遝	đạp
裡	lí,lý
観	quan,quán
鷼	nhàn
粛	túc
镝	đích
褝	đan,đơn
厂	hán,xưởng
饴	di,tự
綮	khính,khể
牖	dữu,dũ
渰	yểm,yêm
袢	phán,phiền
銜	hàm
貂	điêu
硒	tây
视	thị
芞	khất
鄺	quảng
㞢	chi
錳	mạnh,mãnh
疎	sơ,sớ
蒨	thiến
爰	viên
卯	mão,mẹo
讆	vệ,ngụy
裟	sa
𡖉	côn
桎	trất,chất
雎	sư,thư
灨	công,cám
等	đẳng
繧	văn
瘘	lũ,lu
餲	át,ái,ế
鴝	cù
厌	yếm,áp,yêm,ấp
桢	trinh
䇲	sách,giáp
誂	điếu,điệu
蝆	dạng
杉	am,sam
鞢	tiếp
鲁	lỗ
彶	cấp
屏	phanh,bình,bính
臧	tàng,tang,táng,tàng tạng
龉	ngữ
娌	lí,lý
叠	điệp
啾	thu,tưu
戋	tàn,tiên
犼	hống
喋	điệp
鮐	thai,di
玉	ngọc,túc
塠	đôi
鹫	thứu
踪	tung
膨	bành
奠	điện
鍖	châm,sẩm
鱔	thiện
圔	áp
菡	hạm,hàm
遣	khiển,khán
侁	sân,thân,tân
洲	châu
丿	triệt,thiên,phiệt
濊	hoát,khoát,uế
葄	tộ
鹏	bằng
狸	uất,ly,li
尽	tần,tẫn,tận
錇	bậu,bồi
鐵	thiết
撣	đàn,đạn,đãn
胄	trụ
搒	bàng,bành,bang,bảng
儎	tải,tái
节	tiệt,tiết
旮	ca
楘	mộc
贽	chí,chuế
垠	ngân,ngần
雺	vụ
曷	át,hạt
紈	hoàn
噛	giảo
碾	chiển,niển,triển,niễn
腹	phúc
贷	thắc,thải
毳	thúy,thuế
票	tiêu,phiếu,phiêu
纵	túng,tổng,tung,tông
𦒧	hoạch
鈸	bạt,bát
佋	chiêu,thiệu
缨	anh
奨	tưởng
魚	ngư
瘕	hà,gia
塲	tràng,trường
绒	nhung
謌	ca
莘	tân,sân,sằn
溟	minh
頌	tụng,dung
韩	hàn
斋	trai
薰	huân
展	triển
諞	biển
荀	tuân
袼	các
斒	ban
聶	triệp,chiệp,niếp,nhiếp
哥	ca
軄	chức
骂	mạ
鋦	cúc,cư,cục
觋	hích
蝥	mao,mâu,miêu
拉	lạp
鍉	đề,đích,thi
嚫	sân,sấn
崿	ngạc
氆	phổ,bảng
甡	sân
孳	tư
个	cá,cán
鞟	khuếch,khoác,khoách
呜	ô
嫖	phiêu,biều
霝	linh
袥	thác
欃	sàm
郈	hậu
踼	thảng,thang
簿	bộ,bạc,bạ
羬	hàm
鋪	phố,phô
征	chinh,trưng
飄	phiêu
懽	hoạn,hoan,hoàn,quán
鏈	liên
蝻	nam
届	giới
帅	soái,súy,suất
麚	xạ,gia
椴	đoạn
屠	đồ,chư
演	diễn
杚	cật
颤	chiến,đản
碩	thạc
犢	độc
惛	muộn,hôn
隁	yển
鬻	dục,chúc
癲	điên
悗	muộn,man,miễn
媪	ảo
螞	mã
窐	khuê
匮	qũy
旓	sao
岘	hiện,nghiễn
潼	đồng
蛎	lệ
萃	tụy,túy,thúy
炕	kháng
薧	hao,hảo,khảo
貞	trinh
撓	nạo
胻	hành
娉	phinh,sính
陫	phỉ,phi
櫺	linh
獝	huất,húc
躒	lịch,lạc
鉒	trú
筳	đình
讼	tụng
綜	tống,tổng,tông
芃	bồng,ngải
泌	bí
锗	giả
擄	lỗ
鍡	úy
刬	sản,sạn
矉	tần
崟	dần,ngâm
佛	phất,bột,bật,phật
酐	can,hãn
傱	tủng
飨	hưởng
鏾	tán,tiển
羃	mạc,mịch
伅	độn,đồn
椒	tiêu
孃	nương
慪	âu
刽	khoái,quái
聚	tụ
梮	cục
暗	ám,âm
衊	miệt
验	nghiệm
閬	lãng,lang
阼	tạc,tộ
禼	tiết
嗋	hiệp
彲	li,si
丫	a,nha
骆	lạc
镘	man
鄖	vân
藃	háo
涛	đào
国	quốc
砏	phàn
釹	nục
呂	lã,lữ
钢	cương
闒	tháp,đạp
殷	yên,an,ân,ẩn
鬈	quyền
澌	ty,tê,tư,ti
鷞	sương,sảng
蓨	tu,điệu,điều
髇	hao
餓	ngã,ngạ
礨	lôi,lỗi
妩	vũ
乓	bàng,bang
她	tha,tả
貢	cống
颎	huỳnh,quýnh
鳧	phù
牠	đà,tha
臢	trâm,châm
譏	ky,kỵ,cơ,ki
郤	khích,khước
鰧	đằng
襫	thích
覃	đàm,diễm
辟	thí,tịch,tích,tỵ,phích,bễ,bách
岍	khiên
裓	giới,cức,cách
南	na,nam
埯	am
䓖	cùng
吏	lại
釩	phiếm,phạm,phàm
黼	phủ
锡	tích
谿	hoát,hề,khê
旍	tinh
聖	thánh
揭	khế,yết
餞	tiễn
蓁	trân,trăn
駡	mạ
跟	cân,ngân,căn
鼲	hồn,côn
袤	mậu
獭	thát
添	thiêm
犗	giới
症	trưng,chứng
潀	tùng,tung
轵	chỉ
鼂	triêu,triều,trào
扯	xả
攖	oanh,anh
甇	trứu,anh
犝	đồng
鍭	hầu
蛾	nghĩ,nga
纪	kỉ,kỷ
鮀	đà
關	quan,loan
朊	oản,nguyễn
疵	tì,tỳ
鸿	hồng
共	cộng,củng,cung
侂	thác
驷	tứ
磼	tập
吭	hàng,khang,hạng
稹	chân,chẩn
簠	phủ
驾	giá
郑	trịnh
绢	quyên
疘	cương,giang,xoang
歟	dư
唅	ham,hàm,hám
贿	hối
狲	tôn
谞	tư
繁	bàn,bà,phiền,phồn
襮	bộc
羨	tiễn,tiện,diên
瓤	nhương
麃	tiêu,phiếu,bào,biều
訛	ngoa
抶	sất
𣈱	sướng
僳	túc
轔	lân,lận
拾	kiệp,thiệp,thập
膻	đán,chiên,thiên,đãn
醐	hồ
筍	tuận,tuẩn,duẩn,duẫn,tấn,tuân
鴐	gia
揷	tháp,tráp,sáp
纆	mặc
濕	sấp,thấp,chập
噎	ế
懊	úc,áo
黖	hý
袷	kiếp,khiếp,cáp,giáp
徼	kiểu,kiêu,yêu,kiếu
鱞	quan
嗗	oát
𦒜	yên
摺	triệp,chiệp,chiếp,lạp
祔	phụ
鑑	giám
簟	điệm
荥	huỳnh
劘	my,mi
摏	thung
尉	uất,úy
衿	câm,khâm
髆	bác
姣	giao,hào,giảo
伯	bá,bách
湌	xan
揂	do,thu,tù
杵	xử,chử
纟	mịch
輐	ngoạn
擗	bịch,bích,tịch,tích,phích
详	tường,dương
鐙	đặng,đăng
啗	đạm
宂	nhũng
蓍	thi
狄	thích,địch
窈	yểu
兵	binh
藗	tốc
笮	trá,tạc,trách
铛	sanh,đang
倝	cán
鬕	mạc
髭	tì,tư,tỳ
鹻	kiềm,giảm,thiêm,kiểm
傌	mã,mạ
镱	ý
郚	ngữ
儞	nhĩ,nễ
膷	hương
椽	chuyên,triện
慘	thảm
闚	khuy
潏	quyết,duật,quất,thuật
殊	thù
蚌	bạng
疬	lịch
酵	giáo,diếu
枻	duệ,tiết
謇	kiển
斩	trảm
淅	tích,tý,tí
桀	kiệt,kiết
唗	đẩu,đâu
气	khí,khất
膿	nung,nùng
惢	nhị,tỏa
潁	dĩnh,toánh
殱	tiêm
揃	tiễn,tiên
娭	hy,ai,hi
垼	dịch
垓	giai,cai
謭	tiễn
苹	biền,phanh,bình,tần
胀	trướng
佝	câu
蹅	tra,đạp
仙	tiên
坩	kham
鷺	lộ
昄	bản
蜚	phỉ,phi
顏	nhan
韜	thao,sáo
枨	tranh,trành
圃	phố
疰	chú
虖	hô
棖	tranh,trành
掄	luân
卼	qụy,ngột
垲	khải
戀	luyến
哂	sẩn
釿	ngận,cân,ngân
燁	diệp
勌	quyện,quyển
茉	mạt
抟	chuyên,đoàn
殫	đàn,đạn
椤	la
恸	đỗng,động
池	trì
褏	tụ,dữu,hựu
咮	trụ,chu
颊	giáp
氃	đồng
踩	thái,thải
雋	tuyển,tuyến,tuấn
讣	phó
黋	hoảng
獀	sưu
矎	huýnh,huyến
鼪	sinh
滕	đằng
酆	phong
吷	huyết,xuyết
嚼	tước
砃	đan
黚	kiềm
腢	ngẫu
睛	tình,tinh
鍛	đoạn,đoán,đoàn,thuyến
閕	nhạ,ha
颉	hiệt,giáp
单	thiện,đan,thiền,đơn
磢	sảng
禱	đảo
莋	tạc
鈔	sao,sào,sáo
鵩	phục
愾	hất,hy,khái,hi,khải
孱	sàn
硤	giáp,hạp
鈐	kiềm
搩	trách
靶	bả,bá
凔	sương,thương,sảng
衱	kiếp,kiệp
択	trạch
繳	kiểu,chước
釤	sán,sàm,sám,tiêm,sam
啟	khởi,khải
補	bổ
艺	nghệ
铊	tha
皻	tra,cha
辭	từ
闱	vy,vi
許	hử,hứa,hổ
菾	điềm
輕	khánh,khinh
㗖	đạm
塓	mịch
罿	đồng
冐	mạo
胳	các,ca,cách
顔	nhan
你	nhĩ,nễ
龤	hài
豩	bân
罍	lôi
嫿	hoạch,họa
佃	điền
訅	khao,cừu
引	dấn,dẫn
煩	phiền
蟄	trập,chập
岭	lãnh,linh,lĩnh
蘐	huyên
瀘	lư,lô
丳	sạn
琺	pháp
鐭	áo
箙	phục
祅	yêu
戣	qùy
彸	chung,công
欶	sóc
磧	thích
躂	thát,đáp
瘂	á
颜	nhan
蹁	biên,biển
媲	bễ,thí
堑	tiệm,tạm
赉	lãi,lại
袜	vạt,mạt,miệt
邰	thai
誉	dự
盲	vọng,manh
裊	diểu,niểu
御	nhạ,ngữ,ngự
敖	ngao,ngạo
蝁	ác
猀	sa
噹	đáng,đương,đang
乍	sạ,tác,xạ
瞅	thu,thiễu
楷	giai,khải
邋	lạp
暈	vựng,vận
宮	cung
妊	nhậm,nhâm
躐	liệp
艓	điệp
劲	kình,kính
鳥	điểu
嶴	áo
鐔	thiền,tầm,đàm
號	hạo,hào,hiệu
傍	bàng,bạng
镵	sàm
嗾	thốc,tẩu
桯	doanh,thinh
蟯	nhiêu
繷	nũng
胙	tộ,tạc
杞	kỉ,kỷ
拃	tra,tạt
达	đạt,thế
襱	lung,lũng
伺	tý,tí,tứ
诮	tiếu
緞	đoạn
喒	cha,ta,tàm,gia
鐦	khai
胥	tư
镔	tấn
禺	ngẫu,ngu,ngụ,ngung
爊	ngao,ao
掉	trạo,điệu
峰	phong
萋	thê
漊	lũ,lâu
賽	tái,trại
嵿	đính,đỉnh
礞	mông
芀	điêu
赴	phó
匽	yển
赅	cai
赸	san,sán
窒	trất,chất
虺	hôi,hủy
甩	súy,suất
欣	hân
钠	nạp,nột
勰	hiệp
絞	hào,giảo
䱌	di
翜	sáp
榧	phỉ
陌	mạch
诿	dụy,ủy
堆	đồi,đôi
妸	a
鬭	đấu
凷	khối
菼	thảm
闑	niết
掎	ky,kỉ,ỷ,kỷ
谱	phả,phổ
碟	điệp
镎	nã
埕	trình
晡	bô
唬	hạ,hách,hao,hổ,hào,quách
殶	chú
捐	quyên
矑	lô
鯧	xương
騞	hoạch,hạch
唭	khí,khi
瀣	giới,dới
鍰	hoàn
撽	khiếu
戧	sáng,sang,thương
縿	tiêu,sam
驢	lư
颠	điên
岮	đà
意	y,ý
郭	quách
紋	vấn,văn
滹	hô
鳌	ngao
敞	xưởng,sưởng
潑	bát
煺	thoái
鹄	hộc,cốc
薝	chiêm,đảm
翮	cách
泺	bạc,lạc
顈	quýnh
霉	my,môi,vy
離	lệ,ly,li
幗	quắc
雲	vân
崢	tranh
寡	qủa
苍	thưởng,thương
肫	truân,chuân,đồn,thuần
靤	bạo
莼	thuần
罏	lư,lô
挐	nạo,nã,nư,noa
嵠	khê
微	vy,vi
鄫	tằng,tăng
髌	tẫn,bận
繠	nhụy
馁	nỗi
雗	hàn
永	vịnh,vĩnh
橼	duyên
旝	quái
図	đồ
宄	qũy
厢	sương,tương
汜	dĩ,tỷ,tỉ
懵	mặng,mông,mộng,manh
鬃	tùng,tông
陽	dương
胝	đê,chi,tri
再	tái
丟	đâu
黃	hoàng,huỳnh
窪	oa
蚰	do,du
蔘	tam,sâm
貣	thắc
頄	cừu
揾	uấn
褾	biểu
摫	quy
剹	lục
蒂	đế
宨	điệu,tiao3
鸑	nhạc
宼	khấu
簧	hoàng
呰	tử
羭	du
鲣	kiên
侥	kiểu,nghiêu
耞	gia
芊	thiên
軵	nhung,nhũng
廞	hâm,hân
吳	ngô
障	chướng,chương
調	điệu,điều
驛	dịch
涪	phù
綁	bang,bảng
薶	mai
礜	dự,xác
鲇	niềm,niêm
迦	già,ca
潘	phan,bàn
塡	điền,trần,trấn,chấn,điễn
吅	tụng,huyên,tuyên
瑑	triện
櫨	lô
箖	lâm
燮	tiếp
醿	my
丏	cái,diễn,miễn
瑾	cẩn,cấn
籟	lãi,lại
硗	sao,khao,nghiêu
冶	dã
勞	lạo,lao
宾	thấn,tân
輜	tri,chuy,truy
踦	kì,khi,ỷ,cơ,kỷ,kỉ
娼	xướng
瞄	miêu,miểu
琵	tì,tỳ
鉈	xà,tha
漼	tồi,thôi
钆	ca
黯	ảm
猤	qúy,quảng
撇	phiết
眥	xải,tý,trại,tí
琥	hổ
狶	thỉ,hi
扑	phốc,phác
窻	song
酏	di
唫	ngâm,cẩm,cấm
尞	liêu
雰	phân
怨	uẩn,oán
冲	xung,trùng
旹	thời,thì
籒	trứu
梿	liên
睂	my,mi
糍	từ
弾	đàn,đạn
纗	huê
嫦	thường
铓	mang
優	ưu
无	vô,mô
頯	qũy,qùy
鍤	sáp,tráp
镭	lôi
甿	manh
奲	xả,đả
帙	trật,pho,dật
饲	tự
爵	tước
䙷	đức
铈	thị
蛰	trập,chập
邊	biên
件	kiện
斃	tễ,tệ
蚲	bình
劖	thiền,sàm
綰	oản
胆	đàn,đảm
郃	cáp
俫	lại,lai
癗	lũy,lỗi
推	suy,thôi
掇	xuyết
畍	giới
諜	điệp
猲	cát,hiết,yết,hạt
黛	đại
磑	ngôi,cai,ngại
顼	húc
乞	khí,khất
墽	khao
还	toàn,hoàn
蜯	bạng
廼	nãi
凵	khảm
鞥	nhăng
尬	giới
寂	tịch
崗	cương
滚	cổn
咽	ân,yến,yết,ế,yên
髂	khách
籅	dư
阇	đồ,xà
唛	mạch,mạ
岚	lam
嗏	chà,trà
渌	lục
謍	hoanh,doanh
碣	kiệt,kệ
呷	hạp
堘	thăng
鳮	kê
芰	kị,kỵ
懅	cứ
穧	tế,tễ
襆	phộc,bộc
楥	huyên,tuyên,hoãn
皪	lịch
萆	tế,bế,tích,tì,bề,tý,tỳ
蒝	diêm
讥	ky,kỵ,cơ,ki
曹	tào
郰	trâu,châu
玍	ca
螢	huỳnh
詀	chiêm,điêm,siệp
腾	đằng
鷖	ê
穷	cùng
埮	đàn,đàm
銻	đễ
騻	sương,sảng
経	kinh
珊	san
锓	tẩm,tiêm
謨	mô
姚	dao,diêu
瓠	hoạch,hồ
賥	túy
忆	ức
鱀	ký
槵	hoạn
愽	bác
叭	bá
鹰	ưng
樓	lâu
搕	khạp,áp,ngạ,hạp
粃	bỉ,tỷ,chủy
盰	cán
剴	cái,cai,khải
椀	oản,uyển
饌	soạn,tuyển
噔	đăng
軍	quân
茳	giang
壾	mãng
沂	nghi,ngân
櫾	trục,dứu
胅	điệt
挍	hiệu
旞	toại,tùy
黤	yểm,yêm
种	chủng,chúng,xung,trùng
崫	quật
縗	thôi
偾	phẫn
鞹	khuếch,khoác,khoách
新	tân
蝄	võng
责	trái,trách
彠	hoạch
署	thự,thử
剪	tiễn
題	đề,đệ
儗	nghĩ
豔	diễm
綟	lệ
儐	tấn,tân
泊	phách,bạc
晝	trú
盌	oản,uyển
饛	mông
膽	đảm
衉	khách
飋	sắt
縷	lũ,lâu
韧	nhận
潸	san
層	tằng
茝	sải,chỉ
摲	sảm
黓	dặc
褚	trữ,trử
弛	thỉ
梔	chi
嚓	sát
瘠	tích
憀	liêu
陳	trận,trần
鷥	ty,tư
昔	tích,thố,tịch,thác
嶓	ba
螓	trăn,tần
菸	yên,ư
冔	hu
夌	lăng
黲	thảm
郠	cánh
熹	hy,hi
覯	cấu
托	thác
菇	cô
鯶	hỗn
韤	vạt,mạt,miệt
渴	kiệt,khát,hạt
朙	minh
斯	tư
曛	huân
抭	du
覛	mạch
跥	đọa
蹟	tích
掔	khan,kiên
歸	quy,qúy
煳	hồ
镄	phí
忕	thái,thệ
侮	vũ,hối
車	xa
鄅	vũ
嘗	thường
咸	hám,hàm,giảm
盹	truân,độn,chuân
詛	trở,trớ
饩	hy,khái,hi,hí,hý
郄	tức,khích,khước
蕿	huyên
欗	lan
焐	ngộ
櫡	trước
貓	miêu
铙	nạo,nao
殈	hức
厠	trắc,xí,lịch
娽	lộc
禖	môi
詣	nghệ
喷	phún,phôn
軫	chẩn
愈	dũ
涍	hiếu
譾	tiễn
曦	hy,hi
怱	thông
阬	kháng,khanh
蠋	thục,trục
梐	bệ
氻	lặc
蛔	hồi
橱	trù
畵	hoạch
迄	hất,ngật
燡	dịch
麜	lật
舅	cữu
艉	vĩ
搫	bà,bàn
趒	điêu
烩	khoái,quái
踱	đạc
辢	lạt
爻	hào
悱	phỉ
鲒	cát
蛺	hiệp,kiệp,giáp
僲	tiên
苕	điều,thiều
鬋	tiễn,tiên
酎	trửu,trữu
瞷	gián,gian,nhàn
痕	ngấn,ngân
雀	tước
灼	chước
張	trương,trướng
狞	nanh,ninh
罭	vực
阚	hám,khám,hảm,giảm
婘	quyến,quyền
嘡	thang
襢	triển,đản
慎	thận
篁	hoàng
妨	phương,phướng
棕	tông
劐	hoát
顾	cố
姞	cật
鰹	kiên
阱	tỉnh,tịnh
椹	thầm,châm,thậm,thẩm
緳	khiết
拌	phan,phán,bàn,bạn
壑	hác
労	lao
劒	kiếm
艧	hộ
逛	cuống
戏	huy,hi,hô,hí,hý
舳	trục
釦	khẩu,khấu
鷂	diêu,dao,diệu
煇	huy,huân,vận
芼	mao,mạo
唼	xiệp,thiếp,xiếp
飙	tiêu
勋	huân
渒	tụy
诅	trớ
寽	luật
鱟	hấu,hoành
介	giới
嚾	hoan
薖	khoa,oa,qua
覆	phúc,phú
壹	nhất
屿	tự
牕	song
扁	biên,thiên,biển
湄	my,mi
峙	trì,trĩ
集	tập
攎	lô,la
櫋	miên,biên
碕	kỳ
李	lí,lý
蜍	thừ
秜	ni
黴	môi,mi,my,vi,vy
蛳	sư,tư,si
铗	khiếp,kiệp,giáp
繚	liễu
襠	đương,đang
咎	cao,cữu
弑	thí
暌	khuê
闲	nhàn
鴕	đà
瞬	thuấn
沾	điếp,triêm,thiêm,tiêm
掁	trành
梧	ngô,ngộ
郔	diên
贉	đảm
騕	yểu
赋	phú
秖	kỳ,kì
窰	dao,diêu
湃	phái,vy,bái
鄭	trịnh
杭	hàng
蓖	bề,bế,tỳ
杗	mang
用	dụng
宽	khoan
浸	tẩm,thâm
瀨	lại
翡	phí,phỉ
鄂	ngạc
惊	kinh,lương
緇	tri,chuy,truy
髟	tiêu,sam,bưu
饉	cận
同	đồng
墝	sao,xao,khao,nghiêu
瘏	đồ
羯	yết,kiết
力	lực
藓	tiển
驉	hư
磨	má,ma
擉	thục,trạc
朝	triêu,triều,trào
簍	lũ,lâu
恳	khẩn
袕	huyệt
屚	lậu
榦	cán,hàn
鱵	châm
僡	huệ
俱	câu
琨	côn
莏	ta,sa
穀	cốc
榞	nguyên,yuan2
浺	xung
虷	can,hàn
硭	mang
鞺	thang
陑	nhi
爆	bạc,bạo,bộc
椘	sở
杘	sí
抹	mạt
莓	môi
佗	đà,tha
浬	lí,lý,hải lí
氇	lỗ
銬	khảo
闠	hội,hối
豨	hy,hi
儿	nhân,nhi
臕	tiêu,phiếu,phiêu
琩	xương
切	thiết,thế
苾	tất,bật
蘿	la
觤	qủy
嚵	sàm
叜	tẩu
屌	điểu,điếu
鬳	quyện
崽	tải,tể
潩	dị
槽	tào
疓	đinh,nãi
鹩	liêu
殜	triệp
蟜	kiểu
蒿	hao
侅	cai
嘽	siển,xiển,than
缴	chước,kiểu
摻	thám,sâm,sảm,tiêm,sam,tham
渳	nhị
覭	minh
獼	my,mi,di
臨	lậm,lâm,lấm
踖	tích
懆	thảo,tháo
鏑	đích
溴	xú,kích
歑	hô,hư
魘	yểm
蜽	lưỡng,lượng
看	khan,khán
釥	thiểu
订	đính
俸	bổng
嘌	phiêu
苢	dĩ
笤	điều
柞	sạ,tạc,trách
澉	cảm,cám
京	kinh,nguyên
燙	năng,đãng,nãng
貫	oan,quán
缳	hoàn,hoán
闫	diêm
琿	huy,hồn
鏨	trạm,tạm
艛	lâu
訥	nột
孌	luyến
橥	trư
荸	bột
湻	thuần
嵥	kiệt
虚	khư,hư
逅	cấu
瘻	lũ,lâu,lu
褸	lũ
炝	sang
峡	hiệp,hạp,giáp
域	vực
馈	qũy
栽	tải,tài
瓴	linh
襒	biết
嘛	ma
籩	biên
揣	chùy,sủy,đoàn,tuy
芳	phương
雖	vị,tuy
痌	thông,đồng
掮	kiên
壓	yểm,áp,yếp
筋	cân
浿	phái,phối,bái
慮	lự,lư,lục
峝	đỗng,động,đồng
辦	biện,bạn
淭	hoài
漾	dạng
豄	độc
舕	đạm
戴	đái,đới
怮	u
巧	xảo
榿	khi
兄	huống,huynh
劋	tiễu,giảo
眱	di
籔	sổ,tẩu
彑	kế,kệ
稬	noãn,nhu,nọa
丗	thế,táp
譳	nậu
膇	truy
碳	thán
睎	hy,hi
絯	ai
厩	cứu
愫	tố
犎	phong
僽	sậu
瓒	toản
坷	kha,khả
浦	phổ,phố
竣	thuyên,thuân
囘	hồi,hối
胃	trụ,vị
俠	hiệp
乆	cửu
拚	phiên,phanh,phan,biện,phấn
钔	môn
焉	yên,diên
緪	cắng,cánh,căng
柑	kiềm,cam
鮹	sao
杙	dặc,dực
骲	bão
娴	nhàn
屺	khỉ,dĩ
瘫	than
斪	cù
笱	cẩu,cầu,cú
缘	duyên
鴻	hồng
领	lãnh,lĩnh
姌	nhiêm
黬	ảm,cam
输	thú,thâu,du
鋣	da
瘃	trúc,chúc
薑	khương
襪	vạt,mạt,miệt
亚	á
馔	soạn
詭	qủy,ngụy
滫	tưu,tựu
澤	trạch,dịch,thích
芪	kỳ,kì
撆	biết
悽	thê
蚯	khâu,khưu
琹	cầm
浼	mỗi,miễn
嚧	lô
鼌	triều,trào
啚	đồ,bỉ
需	tu,nhuyễn,nhu,nọa
褮	huỳnh,anh
姷	hỗ
鲰	tưu
嘄	kiêu
猾	hoạt
骼	cách
测	trắc
嘣	băng
領	lãnh,lĩnh
縱	túng,tổng,tung,tông
鯯	chế
员	viên,vân
頫	thiếu,phủ
裠	quần
恃	thị
壸	khổn
璡	tấn
醊	chuyết
絮	trữ,nhứ
槧	thiễm,tiệm,tạm
倠	huy
惞	hân
貄	tứ
讅	thẩm
鰵	mẫn
厓	nhai
襶	đái,đích,đới
隱	ấn,ẩn
瓀	nhuyên,nhuyễn
釄	my,mi
鼆	manh
书	thư
檃	ổn
镖	tiêu,phiêu
馥	phục,phốc,phức
苑	uất,uẩn,uyển,uân
讬	thác
亸	đả
蘸	trám,tiếu
追	truy,đôi
鑱	sàm
镊	nhiếp
葰	tuấn
寀	thái
畮	mẫu
潰	hội
瘼	mạc
